name,score,state,timestamp
记忆大师,0.867579908676,1,2017-05-19
记忆大师,0.454545454545,0,2017-05-20
记忆大师,0.606060606061,1,2017-05-20
记忆大师,0.441988950276,0,2017-05-21
记忆大师,0.828729281768,1,2017-05-21
记忆大师,0.721649484536,0,2017-05-22
记忆大师,0.412371134021,1,2017-05-22
记忆大师,0.0,0,2017-05-23
记忆大师,1.04166666667,1,2017-05-23
记忆大师,0.522388059701,0,2017-05-24
记忆大师,0.820895522388,1,2017-05-24
记忆大师,0.196078431373,0,2017-05-25
记忆大师,0.980392156863,1,2017-05-25
记忆大师,0.117647058824,0,2017-05-26
记忆大师,1.29411764706,1,2017-05-26
记忆大师,0.0,0,2017-05-27
记忆大师,1.11111111111,1,2017-05-27
西游伏妖篇,1.11111111111,0,2017-01-02
西游伏妖篇,0.0,1,2017-01-02
西游伏妖篇,0.0,0,2017-01-06
西游伏妖篇,1.0,1,2017-01-06
西游伏妖篇,0.0,0,2017-01-08
西游伏妖篇,1.0,1,2017-01-08
西游伏妖篇,0.0,0,2017-01-12
西游伏妖篇,1.25,1,2017-01-12
西游伏妖篇,0.833333333333,0,2017-01-14
西游伏妖篇,0.166666666667,1,2017-01-14
西游伏妖篇,0.0,0,2017-01-15
西游伏妖篇,1.0,1,2017-01-15
西游伏妖篇,0.6,0,2017-01-16
西游伏妖篇,0.6,1,2017-01-16
西游伏妖篇,0.344827586207,0,2017-01-17
西游伏妖篇,0.689655172414,1,2017-01-17
西游伏妖篇,0.967741935484,0,2017-01-21
西游伏妖篇,0.322580645161,1,2017-01-21
西游伏妖篇,0.882352941176,0,2017-01-22
西游伏妖篇,0.441176470588,1,2017-01-22
西游伏妖篇,0.9,0,2017-01-23
西游伏妖篇,0.2,1,2017-01-23
西游伏妖篇,0.748299319728,0,2017-01-24
西游伏妖篇,0.340136054422,1,2017-01-24
西游伏妖篇,0.212765957447,0,2017-01-25
西游伏妖篇,0.851063829787,1,2017-01-25
西游伏妖篇,0.588235294118,0,2017-01-26
西游伏妖篇,0.588235294118,1,2017-01-26
西游伏妖篇,0.333333333333,0,2017-01-27
西游伏妖篇,0.666666666667,1,2017-01-27
西游伏妖篇,0.40344933785,0,2017-01-28
西游伏妖篇,0.754542654758,1,2017-01-28
西游伏妖篇,0.414855788226,0,2017-01-29
西游伏妖篇,0.881074674042,1,2017-01-29
西游伏妖篇,0.529440870856,0,2017-01-30
西游伏妖篇,0.761999010391,1,2017-01-30
西游伏妖篇,0.425812115891,0,2017-01-31
西游伏妖篇,0.860403863038,1,2017-01-31
西游伏妖篇,0.449877750611,0,2017-02-01
西游伏妖篇,0.81662591687,1,2017-02-01
西游伏妖篇,0.557398805574,0,2017-02-02
西游伏妖篇,0.650298606503,1,2017-02-02
西游伏妖篇,0.481622306717,0,2017-02-03
西游伏妖篇,0.760456273764,1,2017-02-03
西游伏妖篇,0.400534045394,0,2017-02-04
西游伏妖篇,0.907877169559,1,2017-02-04
西游伏妖篇,0.37928519329,0,2017-02-05
西游伏妖篇,0.846097738877,1,2017-02-05
西游伏妖篇,0.39012345679,0,2017-02-06
西游伏妖篇,0.888888888889,1,2017-02-06
西游伏妖篇,0.396383866481,0,2017-02-07
西游伏妖篇,0.86926286509,1,2017-02-07
西游伏妖篇,0.443740095087,0,2017-02-08
西游伏妖篇,0.80824088748,1,2017-02-08
西游伏妖篇,0.44776119403,0,2017-02-09
西游伏妖篇,0.838663823738,1,2017-02-09
西游伏妖篇,0.388405797101,0,2017-02-10
西游伏妖篇,0.921739130435,1,2017-02-10
西游伏妖篇,0.447214076246,0,2017-02-11
西游伏妖篇,0.806451612903,1,2017-02-11
西游伏妖篇,0.495867768595,0,2017-02-12
西游伏妖篇,0.767414403778,1,2017-02-12
西游伏妖篇,0.441826215022,0,2017-02-13
西游伏妖篇,0.913107511046,1,2017-02-13
西游伏妖篇,0.42071197411,0,2017-02-14
西游伏妖篇,0.7928802589,1,2017-02-14
西游伏妖篇,0.526315789474,0,2017-02-15
西游伏妖篇,0.827067669173,1,2017-02-15
西游伏妖篇,0.44776119403,0,2017-02-16
西游伏妖篇,1.14427860697,1,2017-02-16
西游伏妖篇,0.38961038961,0,2017-02-17
西游伏妖篇,0.865800865801,1,2017-02-17
西游伏妖篇,0.327868852459,0,2017-02-18
西游伏妖篇,0.819672131148,1,2017-02-18
西游伏妖篇,0.486486486486,0,2017-02-19
西游伏妖篇,0.72972972973,1,2017-02-19
西游伏妖篇,0.660377358491,0,2017-02-20
西游伏妖篇,0.754716981132,1,2017-02-20
西游伏妖篇,0.30303030303,0,2017-02-21
西游伏妖篇,1.0101010101,1,2017-02-21
西游伏妖篇,0.598290598291,0,2017-02-22
西游伏妖篇,0.940170940171,1,2017-02-22
西游伏妖篇,0.47619047619,0,2017-02-23
西游伏妖篇,0.833333333333,1,2017-02-23
西游伏妖篇,0.533333333333,0,2017-02-24
西游伏妖篇,0.933333333333,1,2017-02-24
西游伏妖篇,0.3125,0,2017-02-25
西游伏妖篇,0.78125,1,2017-02-25
西游伏妖篇,0.298507462687,0,2017-02-26
西游伏妖篇,0.820895522388,1,2017-02-26
大闹天竺,0.47619047619,0,2017-01-26
大闹天竺,0.952380952381,1,2017-01-26
大闹天竺,1.66666666667,0,2017-01-28
大闹天竺,0.833333333333,1,2017-01-28
大闹天竺,1.0,0,2017-01-29
大闹天竺,1.0,1,2017-01-29
大闹天竺,3.33333333333,0,2017-01-30
大闹天竺,0.0,1,2017-01-30
大闹天竺,0.740740740741,0,2017-01-31
大闹天竺,0.703703703704,1,2017-01-31
大闹天竺,0.371024734982,0,2017-02-01
大闹天竺,0.980565371025,1,2017-02-01
大闹天竺,0.567296996663,0,2017-02-02
大闹天竺,0.734149054505,1,2017-02-02
大闹天竺,0.493975903614,0,2017-02-03
大闹天竺,0.915662650602,1,2017-02-03
大闹天竺,0.738636363636,0,2017-02-04
大闹天竺,0.553977272727,1,2017-02-04
大闹天竺,0.256849315068,0,2017-02-05
大闹天竺,1.02739726027,1,2017-02-05
大闹天竺,0.643153526971,0,2017-02-06
大闹天竺,0.477178423237,1,2017-02-06
大闹天竺,0.495495495495,0,2017-02-07
大闹天竺,0.675675675676,1,2017-02-07
大闹天竺,1.07382550336,0,2017-02-08
大闹天竺,0.536912751678,1,2017-02-08
大闹天竺,1.02362204724,0,2017-02-09
大闹天竺,1.1811023622,1,2017-02-09
大闹天竺,0.769230769231,0,2017-02-13
大闹天竺,0.897435897436,1,2017-02-13
京城81号2,0.0,0,2017-06-14
京城81号2,1.0,1,2017-06-14
京城81号2,0.0,0,2017-06-15
京城81号2,1.0,1,2017-06-15
京城81号2,0.333333333333,0,2017-06-21
京城81号2,0.666666666667,1,2017-06-21
京城81号2,0.0,0,2017-06-30
京城81号2,1.0,1,2017-06-30
京城81号2,0.0,0,2017-07-01
京城81号2,1.42857142857,1,2017-07-01
京城81号2,0.0,0,2017-07-02
京城81号2,1.25,1,2017-07-02
京城81号2,0.595238095238,0,2017-07-03
京城81号2,0.714285714286,1,2017-07-03
京城81号2,0.571428571429,0,2017-07-04
京城81号2,0.666666666667,1,2017-07-04
京城81号2,0.368098159509,0,2017-07-05
京城81号2,0.79754601227,1,2017-07-05
京城81号2,0.328358208955,0,2017-07-06
京城81号2,1.25373134328,1,2017-07-06
京城81号2,0.525433202907,0,2017-07-07
京城81号2,1.02291783119,1,2017-07-07
京城81号2,0.382209867964,0,2017-07-08
京城81号2,1.11883252259,1,2017-07-08
京城81号2,0.373395565928,0,2017-07-09
京城81号2,1.23687281214,1,2017-07-09
京城81号2,0.471204188482,0,2017-07-10
京城81号2,1.43979057592,1,2017-07-10
京城81号2,0.498338870432,0,2017-07-11
京城81号2,1.29568106312,1,2017-07-11
京城81号2,0.561224489796,0,2017-07-12
京城81号2,1.09693877551,1,2017-07-12
京城81号2,0.267379679144,0,2017-07-13
京城81号2,1.12299465241,1,2017-07-13
京城81号2,0.194174757282,0,2017-07-14
京城81号2,1.84466019417,1,2017-07-14
京城81号2,0.388349514563,0,2017-07-15
京城81号2,1.35922330097,1,2017-07-15
京城81号2,0.196078431373,0,2017-07-16
京城81号2,1.37254901961,1,2017-07-16
京城81号2,0.29702970297,0,2017-07-17
