count|movieName|name|senti|week
23|西游伏妖篇|姚晨|0.92|5
13|建军大业|吴樾|1.0|2
74|京城81号2|梅婷|0.787234042553|1
3|京城81号2|陈冲|1.0|1
1|嫌疑人x的献身|林心如|1.0|0
143|建军大业|李沁|0.986206896552|2
1|拆弹专家|邱礼涛|1.0|5
96|战狼2|余男|0.979591836735|1
103|战狼2|高明|1.0|2
2|京城81号2|邬君梅|0.666666666667|1
170|功夫瑜伽|曾志伟|0.971428571429|2
2|春娇救志明|蒋梦婕|1.0|2
4|嫌疑人x的献身|成泰燊|1.0|3
5|喜欢你|高晓松|1.0|5
1|京城81号2|万国鹏|1.0|4
82|悟空传|彭于晏|0.942528735632|3
156|战狼2|吴刚|1.0|1
