姓名|角色名称|中文名|英文名|别名|粉丝名
无|[]|无|无|无|无
聂远|[('过山榜之绝世瑶妃', '成化帝'), ('追·踪', '陈维坤'), ('黑白恋人', '沈唯'), ('勇士', '杨成武'), ('生死96小时', '赵勇'), ('钞票飞', '王怀义'), ('玄武迷踪之连环斗', '卓五魁'), ('绣春刀', '赵靖忠'), ('啊朋友还钱', '岳大军'), ('目标战', '林浩楠'), ('不肯去观音', '李怡'), ('王的盛宴', '项庄'), ('金陵十三钗', '客串'), ('建党伟业', '陈其美'), ('关云长', '韩福'), ('爱情呼叫转移2', '武大伟'), ('女人本色', '程必聪'), ('卧虎', '督察'), ('芳香之旅', '刘奋斗'), ('阿宝的故事', '罗伟'), ('短信一月追', '谭强'), ('凶宅幽灵', '姜洪斌'), ('滕王阁传奇', '王勃'), ('刀锋', '方霄'), ('黑网下星光', '杨友信'), ('东方有大海', '邓世昌'), ('掩不住的阳光', '粟裕'), ('延禧攻略', '乾隆'), ('龙门飞甲', '赵怀安'), ('心如铁', '龙马'), ('大玉儿传奇', '皇太极'), ('大舜', '象'), ('负二代的幸福生活', '万莫奇'), ('非嫁不可', '李瑞明'), ('花红花火', '陈三炮'), ('杀尽豺狼', '赵景舟'), ('历史转折中的邓小平', '市场管理人'), ('闯天下', '罗坚'), ('填四川', '康熙'), ('天下无贼', '王薄'), ('刀出鞘', '刘云翔'), ('西游记', '唐玄奘'), ('革命人永远是年轻', '陈志'), ('兄弟英雄', '蔡振声'), ('极品妈妈', '陈百锋'), ('三国', '赵云'), ('京东三枝花', '崔八厮（崔浮生）'), ('历史的进程', '祁春秋'), ('枪声背后', '叶正龙'), ('芳邻', '园丁'), ('和爱一起飞', '谷杰'), ('新雪山飞狐', '胡斐'), ('父辈的旗帜', '钟浩'), ('戴着面具跳舞', '索那'), ('男人的天堂', '钟山'), ('天下兄弟', '刘栋'), ('逐日英雄', '欧阳汉强'), ('相逢何必曾相识', '周信彦'), ('人间浮尘', '吴树'), ('大明天下', '沐云州'), ('贞观长歌', '李恪'), ('红幡', '李汉昌'), ('a计划', '青年唐朗'), ('像风一样离去', '范裔风'), ('传奇幻想殷商', '祖玛王'), ('京城四少', '铁蛋'), ('隋唐英雄传', '罗成'), ('倩女幽魂', '七夜'), ('汗血宝马', '赵细烛'), ('第100个新娘', '小刚'), ('谁主中原', '崇祯'), ('壮志凌云包青天', '王朝'), ('大汉巾帼', '符申'), ('人命关天', '陈天华'), ('四大名捕斗将军', '无情'), ('青天衙门', '林友庆'), ('大唐歌飞', '安庆绪'), ('大唐情史', '辩机'), ('天下粮仓', '乾隆'), ('军港之夜', '肖明'), ('龙凤奇缘', '傅俊'), ('笑八仙之素女的故事', '大耳怪'), ('夺命网络', '徐波'), ('非常情网', '田江'), ('吕布与貂蝉', '曹操'), ('如影随形', '左小兵'), ('夏日恋语录', '大理'), ('上错花轿嫁对郎', '齐天磊'), ('情书', '吕斌'), ('机灵小不懂', '明武宗'), ('嫂娘', '运林'), ('百年沉浮', '裴冶翔')]|聂远|无|无|无
肖央|[('我的岳父会武术', '丁满意'), ('龙门镖局', '焦国强'), ('情圣', '肖瀚'), ('超级快递', '王三表'), ('功夫熊猫3', '螳螂（中文配音）'), ('唐人街探案', '坤泰'), ('天将雄师', '校尉雁头'), ('老男孩之猛龙过江', '肖大宝；朴永浩'), ('父亲(父女篇)', '配角'), ('父亲(父子篇)', '肖大宝'), ('与时尚同居', '特别演出'), ('赢家', '肖二宝'), ('老男孩', '肖大宝')]|肖央|yang xiao\shawn|表哥|无
肖彦博|[]|无|无|无|无
肖明|[]|肖明|无|无|无
肖轶|[]|肖轶|无|肖忆郡|无
肖逾榛|[('愤怒的小孩', '兰兰'), ('绣花鞋', '沈颐'), ('极速天使', '洪小依')]|无|无|无|无
肖雨雨|[('守卫者', '未知'), ('抓住彩虹的男人', '林惠静'), ('班淑传奇', '夏文姬'), ('微时代', '万嘉'), ('屌丝日记', '韩毅搭档'), ('秘密营救', '沈偃月'), ('爱情面前谁怕谁', '余小渔同学'), ('血雨母子情', '金玉珊'), ('生活永远沸腾', '元芳'), ('相爱十年', '黄芸芸'), ('青春四十', '丝丝'), ('瞧这一家子', '田蕾'), ('刘三姐', '小孔雀'), ('新水浒传', '月儿'), ('大捕房', '金茹茹'), ('大女当嫁', '苏娜'), ('玫瑰江湖', '杨喜冰'), ('锁清秋', '陆无双'), ('一千滴眼泪', '莉莎'), ('洒满阳光的小院', '罗小甜'), ('喋血情路', '舒偃月'), ('有种', '橙橙'), ('换心', '陈水墨, '), ('紫宅', '施雨'), ('爱出色', '杂志社编辑')]|肖雨雨|rainie|陈雨新|无
胡亚捷|[('俺娘田小草', '李来顺'), ('糊涂县令郑板桥', '慎郡王'), ('战火中的兄弟', '高书记'), ('卧底', '星野千里'), ('那金花和她的女婿', '何兆海'), ('国家命运', '钱学森'), ('咱家那些事', '梁明杰'), ('母亲﹐母亲', '侯志宏'), ('王的女人', '吕乘风'), ('游戏之王/冲出虚拟世界', '韩博士'), ('守候我们的幸福/远远的爱', '刘红战'), ('鹰隼大队', '黄嘉实'), ('父亲的脊梁', '张博'), ('江姐', '彭咏梧'), ('正义使命', '赵杰'), ('中国古代爱情故事新编', '郎中'), ('卫生队的故事', '吴站长'), ('回家', '齐主任'), ('县长夫人', '县长'), ('房前屋后', '武主任'), ('特殊使命', '秦剑'), ('失踪女人/一个女人引发的血案', '乌子豪'), ('垂直打击', '陈超'), ('妈妈再爱我一次', '周皓'), ('我的泪珠儿', '师晓梁'), ('东方朔', '乾坤子'), ('长空铸剑', '贺鹏'), ('海阔天高', '罗达航'), ('我心永远/高光阴影', '黄超'), ('重金防线/诚信无价', '邓焯雄'), ('中国造', '宋志飞'), ('北京,我的爱', '杨修'), ('陈赓大将', '杜月笙'), ('达赖.班禅.乾隆皇帝', '永蓉'), ('好爹好娘', '孙浩'), ('探长欧光慈', '杀人犯'), ('健康快车', '警察'), ('对门对面', '赵毅/李明'), ('朝天门', '邱少杰'), ('售楼处的故事', '高级管道工程师'), ('法不容情/泣血誓言', '肖少明'), ('东北一家人', '“书呆子”工程师'), ('警戒线', '江晓阳'), ('壮志凌云', '李亮'), ('千秋之约/千秋大业', '郑亦铭'), ('心泪/求求你,原谅我', '杨淮根'), ('太阳小队', '马老师'), ('小女人', '郭先生'), ('道北人', '仁义'), ('滴血古城', '刘云瀚'), ('紫藤花园', '沈源'), ('长天烽火/大空战', '三弟国军飞行员'), ('满天星', '何方剑'), ('北洋水师', '光绪帝'), ('古城情恨', '张项英'), ('远方有绿灯', '丁超'), ('便衣警察', '周志明'), ('观觉寺/月夜观觉寺', '老刘'), ('李天佑血战四平', '李天佑'), ('暖心', '自愿军'), ('我们需要你/红盾忠魂/所长阿磊', '黄振磊'), ('网络少年', '苹果先生'), ('天字码头', '王平安'), ('这辈子不欠你', '丁中'), ('老娘土', '李志国'), ('一夕是百年', '李涛'), ('过年', '程远'), ('血色清晨', '李明光'), ('太监秘史', '毓泰'), ('雷场相思树', '邱原')]|胡亚捷|无|无|无
胡先煦|[('如懿传', '爱新觉罗·永珹'), ('琅琊榜之风起长林', '萧元时'), ('原来你还在这里', '程铮（少年）'), ('小别离', '张小宇'), ('快乐酷宝第二部', '司徒乐'), ('宋耀如·父亲', '少年宋耀如（阿虎）'), ('憨妻的都市日记', '牛小万'), ('宝贝儿回家', '大琪琪'), ('小爸爸', '童年于果（客串）'), ('天才进化论2', '齐亦果'), ('胭脂霸王', '萧武魁（童年）'), ('重返大福村', '陆乖虎'), ('向幸福前进', '小冰（童年）'), ('铠甲勇士', '亮亮'), ('百鸟朝凤', '蓝玉（童年）'), ('谁的青春不迷茫', '林子傲'), ('时间都去哪了', '姚远（少年）'), ('超级老爸', '于小多'), ('忠烈杨家将', '杨二郎（童年）'), ('非常十日', '姜军'), ('小建的合唱团', '小建'), ('你是我的牵挂', '林博'), ('一直是晴天', '丁小虎')]|胡先煦|无|乐乐、小煦哥|可乐
胡军|[('上海王', '常力雄'), ('开罗宣言', '石剑峰'), ('救火英雄', '海洋'), ('风暴', '曹楠'), ('让子弹飞', '假张麻子'), ('十月围城', '阎孝国'), ('花木兰', '冒顿'), ('我的唐朝兄弟', '薛十三'), ('建国大业', '顾祝同'), ('机器侠', '徐大春'), ('赤壁下', '赵云'), ('赤壁上', '赵云'), ('一个人的奥林匹克', '张学良'), ('集结号', '刘泽水'), ('落叶归根', '卡车司机'), ('好奇害死猫', '郑重'), ('长恨歌', '李忠德'), ('楚汉风云', '项羽'), ('无间道Ⅱ', '陆启昌'), ('蓝宇', '陈捍东'), ('金鸡', '叶子强'), ('平原枪声', '马英'), ('冲天飞豹', '凌知远'), ('东宫西宫', '小史'), ('燃烧的欲望', '许文正'), ('歌手', '男主角'), ('怒海红颜', '龙二'), ('狂心灭情', '大伟'), ('黑火', '张武'), ('黑雪', '陆亮'), ('恶狼与天使', '朱戈'), ('烈火恩怨', '蔡修明'), ('将夜', '夏侯'), ('于无声处', '马东'), ('潜伏在黎明之前', '战守平'), ('赤水河·国酿', '华联辉'), ('小情人', '单子飞'), ('新雪豹', '荣哥'), ('像火花像蝴蝶', '段绍荣'), ('大陆小岛', '秦天亮'), ('建元风云', '忽必烈'), ('孤军英雄', '车道宽'), ('青春四十', '胡震东'), ('中国1921', '李大钊'), ('风语', '陆丛俊'), ('金婚风雨情', '耿直'), ('岁月', '梁致远'), ('玉井传奇', '戚继光'), ('朱元璋', '朱元璋'), ('西安事变', '张学良'), ('卧薪尝胆', '夫差'), ('楚汉风云', '项羽'), ('一江春水向东流', '张忠良'), ('天龙八部', '乔峰'), ('画魂', '潘赞化'), ('康定情歌', '洛桑'), ('热血痴心', '高寒'), ('卧底', '吴建伟'), ('雄心密令', '杨榕'), ('中国足球', '于毅'), ('一号罪恶', '程浩'), ('天网孽情', '李亦东'), ('关怀', '客串'), ('我心换你心', '李乐天'), ('沧海情仇', '刘天龙'), ('惊涛', '李桂林'), ('候车大厅', '毛毛'), ('危情时刻', '秦川'), ('北京深秋的故事', '许文正'), ('东周列国·春秋篇', '华元'), ('费家有女', '高建设')]|胡军|hu jun|无|无
胡兵|[('逆袭之星途璀璨', '王思秦'), ('楚乔传', '乌道涯'), ('游泳先生', '游泳教练'), ('妈妈向前冲冲冲', '江凯文'), ('幻城', '火王'), ('猎场', '陈修风'), ('美梦成真', '侯超群'), ('大汉情缘之云中歌', '汉武帝'), ('名侦探狄仁杰', '李瑶'), ('妈妈向前冲', '周凯文'), ('天天想你', '孟帆'), ('如果我爱你', '世英'), ('女人的武器', '马健'), ('姐姐立正向前走', '傅云凯'), ('东北往事之江湖儿女', '方振宇'), ('亲爱的，回家', '宋尧'), ('无懈可击之美女如云', '何老师'), ('遥远的羁绊', '刘成'), ('ol日本', '李大龙'), ('超级男女', '金龙'), ('如果月亮有眼睛', '翟成勋'), ('我家不打烊', '郭文强'), ('真情告别', '安臣'), ('摇摆女郎', '于根宝'), ('啼笑因缘', '樊家树'), ('非常24小时', '孟少杰'), ('双响炮', '英雄'), ('绝对计划', '沈聪'), ('粉红女郎', '王浩'), ('锵锵儿女到江湖', '释大卫'), ('缘来一家人', '徐晖'), ('千秋家国梦', '许易先'), ('纽约风暴', '孙立军'), ('谁动了我的梦想', 'steven'), ('恋者多喜欢', '林皓'), ('我的男男男男朋友', '王永成'), ('惊魂游戏', '郑明'), ('后备甜心', '卫志安'), ('真情狂爱', '明道')]|胡兵|无|无|无
胡可|[('那些女人', '未知'), ('帝国秘符', '梅佳'), ('啊朋友还钱', '王莉霞'), ('三个未婚妈妈', '护士'), ('歼十出击', '席慕雨'), ('非诚勿扰', '股票女(客串)'), ('大爱无垠', '秦兰'), ('豆腐迷郎', '王锦'), ('聊聊', '恰恰好'), ('如懿传', '苏绿筠'), ('爱情筑梦师', '子衿'), ('中国式关系', '刘俐俐'), ('聊斋新编', '连琐'), ('小野兽花店', '叶青'), ('熊爸熊孩子', '陶金子'), ('舰在亚丁湾', '曹冰冰'), ('花灯满城', '三姨太'), ('大酒商', '易九妹'), ('孩奴', '卢丽'), ('我们的快乐人生', '陈素芬'), ('大明医圣李时珍', '吴斯语'), ('上海滩之生死较量', '竺帼贞'), ('浦江危情', '谢妻'), ('大抉择', '黄幽兰'), ('迷中局', '李惠香'), ('洪武大案', '安庆公主'), ('西游记', '铁扇公主'), ('川军团血战到底', '梅月君'), ('风声传奇', '林迎春'), ('新水浒传', '顾大嫂'), ('家之门', '方圆圆'), ('大浴堂', '杨柳青'), ('天堑·1949', '燕怡'), ('忏悔', '田红鸽'), ('迷雾重重', '蓝双双'), ('我的糟糠之妻', '汪悦宁'), ('你到底要什么', '吴鸿影'), ('复婚', '丁燕'), ('闯荡', '唐秋燕'), ('金婚风雨情', '刘铁梅'), ('热爱', '陆萍香'), ('故梦', '金灵芝'), ('冷枪', '肖紫云'), ('嫁衣', '主持人'), ('别对我说谎', '韩珍珠'), ('纸醉金迷', '东方曼妮'), ('鹿鼎记', '苏荃'), ('风月·恶之花', '甄妤'), ('我爱芙蓉姐', '萧玲玲'), ('暗流', '郑媛媛'), ('天仙配', '五公主'), ('后来', '蔡晓梅'), ('剑行天下', '柳无双'), ('咏春', '九姑娘'), ('红幡', '袁静茹'), ('东方朔', '平阳公主'), ('女人不惑', '宇可薇'), ('阿有正传', '倩雯'), ('京华烟云', '牛素云'), ('生死十七天', '孙晓菲'), ('县令黄马褂', '孟娇娇'), ('生命的颜色', '柳荷心'), ('新聊斋志异', '张小曼'), ('婚前四周半', '丁丁'), ('福星高照猪八戒', '珠珠'), ('十八罗汉', '锦儿'), ('书剑情侠柳三变', '楚楚'), ('大明王朝1449', '女贞'), ('家族利益', '钱雪林'), ('半生缘', '石翠芝'), ('天下第一丑', '五格格'), ('快嘴李翠莲2', '李翠莲'), ('长缨在手', '阿靖'), ('龙珠风暴', '丫丫')]|胡可|无|无|无
胡夏|[('活宝', '阿旺'), ('左耳', '尤他'), ('黄金福将', '赵刚'), ('我要见梅西', '胡夏'), ('爱上台北', '胡夏'), ('伤心童话', '刘同'), ('追忆之夏', '胡夏'), ('乐动青春', '夏天')]|胡夏|hu xia|胡小夏，夏夏，小夏，清泉王子|无
胡天阳|[]|胡天阳|无|男|无
胡宇威|[('进击吧，闪电', '邓尓豪'), ('那刻的怦然心动', '陶予飞'), ('恋人的谎言', '于奇然'), ('幸福又见彩虹', '杜凡'), ('聊斋新编', '锺阳'), ('幸福兑换券', '何不凡'), ('为爱旅行', '李振凯'), ('兰陵王', '安德王'), ('新神探联盟', '展超'), ('真爱黑白配', '周震'), ('真爱趁现在', '蓝仕德'), ('恋夏38℃', '林明宽'), ('旋风管家', '凌奇飒'), ('新兵日记之特战英雄', '郑强'), ('我和我的兄弟·恩', 'dennis'), ('终极三国', '关羽'), ('爱就宅一起', '魏加森'), ('篮球火', '无极威'), ('公主小妹', '南风璘'), ('终极一家', '神行者'), ('武十郎', '雷声大'), ('屋顶上的绿宝石', '聂凯'), ('对风说爱你', '范中岳')]|胡宇威|george hu|胡宇崴|无
胡家华|[]|胡家华|jack hu|无|无
胡小庭|[('索玛花开', '吉布英花'), ('娘道', '段金花'), ('豆娘', '山药娘'), ('灵魂摆渡2', '琴姐/挽琴'), ('勇敢的心', '桂英'), ('灵魂摆渡', '辣子西施'), ('亲爱的', '万小景'), ('跟我的前妻谈恋爱', '俞小梅'), ('乔省长和他的女儿们', '乔蓉'), ('迅雷急先锋', '苏欣'), ('女人一辈子', '夏满银'), ('神鬼八阵图', '玉蝉'), ('大敦煌', '杏花'), ('继父', '红霞'), ('昭君出塞', '冯昭仪\xa0'), ('武林外传', '南宫残花'), ('灵镜传奇', '飞天凤'), ('刘姥姥外传', '薛宝钗\xa0'), ('我不是羔羊', '杜梅'), ('少年王', '芝麻'), ('还珠格格第三部', '杜雪吟'), ('徐文长外传', '英娘'), ('太平天国', '胡玉荣\xa0'), ('太阳泪', '榛子'), ('为了这一片净土', '赵瑜/赵琪'), ('聊斋先生', '胭脂'), ('上海往事', '炎樱'), ('李卫辞官', '石榴'), ('水晶之恋', '美丽'), ('换个活法', '秀秀'), ('黄台路', '青莲'), ('宝贵的秘密', '彩鸾')]|胡小庭|无|东方小庭（曾用名）|无
胡影怡|[('走进看守所', '吴欣'), ('火线姐妹', '白兰'), ('巾帼大将军', '杨丽华'), ('水男孩', '凯玟'), ('昆明味道', '柳雁'), ('非常营救', '朱佳蕊')]|胡影怡|无|无|无
胡明|[]|胡明|无|李琼英|无
胡晓光|[]|胡晓光|无|无|无
胡杏儿|[('领养', '雪梅'), ('陪着你走', '宋天从'), ('醋娘子', '曹青'), ('金玉满堂', '张涵雁'), ('冲上云霄2', '苏怡'), ('如果不曾爱过你', '佘卿'), ('辣妈俏爸', '顾丹丹'), ('恋爱季节', '姚冬妮'), ('红酒俏佳人', '沈一曼'), ('巾帼枭雄Ⅲ之谍血长天', '张寄生'), ('怒火街头2', '王思苦(第一女主角)'), ('跑马场', '卢璧辉'), ('换乐无穷', '范淑香'), ('耀舞长安', '利在山'), ('万凰之王', '佟佳·沅宛'), ('怒火街头', '王思苦(第一女主角)'), ('鱼跃在花见', '姜羌'), ('美人心计', '吕鱼'), ('欢喜婆婆俏媳妇', '钱满贯'), ('秋香怒点唐伯虎', '秋香'), ('烈火雄心3', '高惠盈'), ('巴不得爸爸', '苏凤妮'), ('太极', '言子规'), ('当狗爱上猫', '周自瑜'), ('野蛮奶奶大战戈师奶', '周丽敏'), ('乱世佳人', '顾平安'), ('岁月风云', '方秉怡'), ('肥田喜事', '何美田'), ('情迷黑森林', '唐霜'), ('同捞同煲', '郑碧云'), ('西厢奇缘', '红娘'), ('我的野蛮奶奶', '田力'), ('识法代言人', '沈一言'), ('下一站彩虹', '顾乐敏'), ('皆大欢喜', '袁盈'), ('冲上云霄', '苏怡'), ('追魂交易', '江健儿'), ('律政新人王', '钟清玲'), ('法网伊人', '杜比比'), ('绝世好爸', '高翠怡'), ('再生缘', '刘燕玉'), ('流金岁月', '丁善茵'), ('郑板桥', '饶五妹'), ('婚姻乏术', '程晓君'), ('婚前昏后', '常平平'), ('锦绣良缘', '程颖姿'), ('（失恋急让）', '蒋仪'), ('建党伟业', '袁世凯七姨太'), ('夺命金', 'connie'), ('72家租客', '胡杏儿(客串)'), ('惊声尖叫', '王茵')]|胡杏儿|myolie wu|老my，myo，杏儿，胡小杏|无
胡梦媛|[('特工艾米拉', '艾米拉'), ('铁血娇娃', '焰焰'), ('无极限之危情速递', '娜娜')]|胡梦媛|melrose|无|无
胡歌|[('猎场', '郑秋冬'), ('外科风云', '胡歌'), ('旋风十一人', '穆奇'), ('大好时光', '袁浩'), ('琅琊榜', '梅长苏'), ('伪装者', '明台'), ('四十九日·祭', '戴涛'), ('风中奇缘', '莫循'), ('生活启示录', '鲍家明'), ('爱情公寓4', '迪诺'), ('轩辕剑之天之痕', '宇文拓'), ('无懈可击之高手如林', '徐然'), ('摩登新人类', '谢非凡'), ('香格里拉', '扎西平措'), ('苦咖啡', '陈琮'), ('神话', '易小川'), ('仙剑奇侠传三', '景天'), ('射雕英雄传', '郭靖'), ('少年杨家将', '杨延昭'), ('别爱我', '徐风'), ('天外飞仙', '董永'), ('仙剑奇侠传', '李逍遥'), ('蒲公英', '程灏'), ('那年夏天你去了哪里', '袁雎（友情出演）'), ('大话天仙', '黑帝王杀手（客串）'), ('华丽之后', '胡明'), ('辛亥革命', '林觉民'), ('剑蝶', '马承恩'), ('第601个电话', '晓文'), ('疑神疑鬼', '沈朗'), ('假装没感觉', '侃侃'), ('国歌', '群演')]|胡歌|hugo|无|无
胡然|[('哪吒与杨戬', '龙吉公主'), ('风云天地', '潘笑琪'), ('大唐双龙传之长生诀', '商秀珣\xa0'), ('追龙', '阿晴（女一）'), ('王牌逗王牌', '凤舞'), ('澳门风云3', '金衣'), ('澳门风云2', '紫衣'), ('怪谈', '姚一（单元女一）'), ('天师斗僵尸', '明天（女一）'), ('澳门风云', '紫衣美女（客串）'), ('恶战', '铁菊（女一号）'), ('古惑仔：江湖新秩序', '超婷（女一号）')]|胡然|无|无|无
胡睿|[('热血长安', '小梅'), ('儿科医生', '盖艳艳'), ('警察锅哥', '曾楠'), ('猎捕', '林雪'), ('恋上黑天使', '小梦'), ('我们家的微幸福生活', '陈雪'), ('李先念', '刘玉玲'), ('城市猎人', '杜雁秋'), ('天使艾美丽', '卿卿'), ('铁血尖刀', '杜九娟'), ('娘心', '王明珠'), ('武林猛虎', '谢落樱'), ('毕业时刻', '樱子'), ('世间路', '李静'), ('枕边有张脸2', '媛媛'), ('银杏之恋', '朵朵'), ('白蛇传说', '九尾狐'), ('奋斗', '豆豆'), ('一地花香', '刘芳艳')]|胡睿|无|无|无
无|[]|无|无|无|无
胡蝶|[]|胡蝶|hu die|胡瑞华|无
胡静|[('天衣无缝', '陈萱玉'), ('人民的名义', '高小琴'), ('小情人', '青红'), ('抓紧时间爱', '林嘉薇'), ('泪洒女人花', '杨素云'), ('王的女人', '青莲'), ('笑红颜', '梓桃'), ('女人的战争', '朱杏梅'), ('兵圣', '紫苏'), ('楚留香传奇', '苏蓉蓉'), ('灯火阑珊', '何采莲'), ('康熙秘史', '青格儿'), ('大清后宫', '西林春'), ('欢颜', '许柯茹'), ('婚前四周半', '小惠'), ('魔界之龙珠', '伏天香'), ('别让眼泪流过夜', '杨佩玲'), ('杨门虎将', '明姬'), ('皇太子秘史', '紫瑛'), ('十八罗汉', '红绡'), ('六女当铺', '黄梅'), ('孝庄秘史', '苏茉尔'), ('谎言背后', '柯静芸'), ('齐天大圣孙悟空', '女儿国国王'), ('少年张三丰', '凌雪雁'), ('方谬神探', '司徒多情'), ('大龙邮票', '容格格'), ('大明宫词', '韦氏'), ('聊斋先生', '婴宁'), ('大话西游3', '观音'), ('巴黎假期', 'amy'), ('跑出一片天', '刘艺丹'), ('我知女人心', '赵红'), ('爱情维修站', '陈小玲'), ('天行者', '博士'), ('千杯不醉', '赵洁'), ('左麟右李', '黄金凤'), ('网络时代的爱情', '毛毛')]|胡静|hujing|无|无
脱一然|[]|脱一然|无|无|无
腾格尔|[('双城计中计', '石佛')]|腾格尔|tengri；Тэнгэр|无|无
舒淇|[('健忘村', '秋蓉'), ('侠盗联盟', '叶红'), ('我最好朋友的婚礼', '顾佳'), ('聂隐娘', '聂隐娘'), ('鬼吹灯之寻龙诀', 'shirley杨'), ('剩者为王', '盛如曦'), ('一步之遥', '完颜英'), ('西游·降魔篇', '段小姐'), ('十二生肖', '大伟妻'), ('love', '方柔伊'), ('情谜', '惠香'), ('10+10', '年轻女子'), ('不再让你孤单', '李佩如'), ('非诚勿扰2', '梁笑笑'), ('精武风云·陈真', 'kiki'), ('全城戒备', 'angel'), ('纽约,我爱你', '中医师'), ('游龙戏凤', '薛米兰'), ('非诚勿扰', '梁笑笑'), ('天堂口', '露露'), ('电姬馆', '孕妇'), ('森冤', '夏松梓'), ('我的老婆是大佬3', '林雅玲'), ('伤城', '细凤'), ('最好的时光', '秀美'), ('怪物', 'may'), ('韩城攻略', 'j.j.'), ('见鬼2', 'joey'), ('office有鬼', '阿珊'), ('奇逢敌手', '小玲'), ('美人草', '叶星雨'), ('非常人贩', 'lai'), ('一碌蔗', '客串'), ('夕阳天使', '陈爱琳'), ('当男人变成女人', '地狱使者'), ('卫斯理蓝血人', '白素'), ('山顶上的钟声', '黎娟'), ('幽灵人间', 'june/黄小琴'), ('绝色神偷', 'cat'), ('北京乐与路', '杨颖'), ('有情饮水饱', '亚彩'), ('小百无禁忌', '小百'), ('千禧曼波', 'vicky'), ('有时跳舞', '美玲'), ('badboy特攻', '管正'), ('竜火', '客串'), ('神偷次世代', 'june'), ('赌圣3无名小子', '苦儿'), ('第一次的亲密接触', '轻舞飞扬'), ('胜者为王', '邓美玲'), ('玻璃樽', '阿不'), ('我爱777', 'julia'), ('中华英雄', '木修罗'), ('天旋地恋', 'kiki'), ('半支烟', '阿南'), ('风云雄霸天下', '楚楚'), ('b计划', 'anita lee'), ('新恋爱世纪', 'joey'), ('98古惑仔龙争虎斗', '邓美玲'), ('新古惑仔之少年激斗篇', '阿菲'), ('行运一条龙', '芳芳'), ('玻璃之城', '韵文'), ('古惑仔情义篇之洪兴十三妹', '刀疤淇'), ('美少年之恋', 'clara'), ('精装难兄难弟', '邵芳芳'), ('爱情amoeba', 'boy'), ('对不起,多谢你', 'angele'), ('蜜桃成熟时1997', '客串'), ('超级无敌追女仔', '洛菲'), ('飞一般爱情小说', '阿珊'), ('悍妇岗', '孙铁妹'), ('怪谈协会', '琪'), ('人细鬼大之三个handsup的少年', '琪琪'), ('红灯区', '明明'), ('玉蒲团之玉女心经', '幻姬'), ('色情男女', '梦娇'), ('灵欲轨道', '莎莎'), ('老冯日记', '老冯前女友'), ('风尘三侠之红拂女', '红拂(张初尘)'), ('百分百感觉', 'nikiky(客串)'), ('小宝与康熙', '小金鱼'), ('难得有情人', '贾萍')]|舒淇|hsu chi、shu qi 、hsu kei|林立慧|无
艾丽娅|[('2015', '白母'), ('猪肉与月亮', '杨红玉'), ('月亮之上', '萨拉'), ('南平红荔', '郑母'), ('杨善洲', '杨静菊'), ('守望天山', '刘秦秀'), ('辣嫂', '辣嫂'), ('舞蹈系', '狗儿妈'), ('亲兄弟', '老二媳妇'), ('爱心', '小柯母亲'), ('蒙古王', '铁木真母亲'), ('两个人的芭蕾', '金梅'), ('时髦老爹', '林新萍'), ('上学路上', '王燕妈妈'), ('英雄无语', '桐嫂'), ('烟雨长河', '女军官'), ('二嫫', '二模'), ('世界屋脊的太阳', '尼姑'), ('风流警察亡命匪', '秀芬'), ('浪迹', '艾丽娅'), ('满山打鬼子', '千寻婆'), ('和平的全盛时代', '葛红梅'), ('祖国我们已成年', '刘云'), ('同在屋檐下', '陈萍'), ('爱就不转弯', '贺书英'), ('未婚妻', '田飞妈妈'), ('小小飞虎队', '辣嫂'), ('中国远征军', '韩母'), ('独生子女的婆婆妈妈', '李冬梅'), ('传奇之王', '万荣嫂子妻'), ('烽火影人', '梅妮妈'), ('永远的田野', '金兰'), ('离婚官司', '王晓梅'), ('暗算', '刘丽华'), ('大龙脉', '慈禧太后'), ('大宋提刑官', '楼夫人'), ('大江东去', '方若梅'), ('太阳花', '赵佳蕙'), ('至爱亲朋', '邹萍'), ('大宅门', '白玉芬'), ('红处方', '庄羽'), ('没有国籍的女人', '独孤梦')]|艾丽娅|无|无|无
艾丽西卡·维坎德|[('狂热郁金香', 'sophia sandvoort'), ('birds like us\xa0', 'huppu'), ('谍影重重5', 'heather lee'), ('大洋之间的灯光', 'isabel sherbourne'), ('丹麦女孩', 'gerda wegener'), ('秘密特工', 'gaby'), ('燃情主厨', 'anne marie'), ('2', 'alice'), ('2', 'ava'), ('青春誓约', 'vera brittain'), ('枪之子', 'tasha'), ('第五阶层', 'anke domscheit'), ('宾馆', 'erika'), ('安娜·卡列尼娜', 'kitty'), ('皇室风流史', 'caroline mathilde'), ('王冠', 'fragancia fernandez'), ('2', 'katarina'), ('min balsamerade mor（电视电影）', 'ebba du rietz')]|艾丽西卡·维坎德|alicia vikander|无|无
艾伦|[('羞羞的铁拳', '艾迪生'), ('夏洛特烦恼', '大春'), ('京华烟云', '邮差'), ('玛格丽特的春天', '张大成'), ('《欢乐喜剧人》', '艾伦'), ('《情圣》', '艾木'), ('《绝世高手》', '练摊高手'), ('若是如此', '艾伦'), ('欢喜密探', '艾伦')]|艾伦|allen|无|无
